"",BBEX3.D.BRL.EUR.BB.AC.000,BBEX3.D.BRL.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = BRL ... / Brazil,
Comment (in english),"Up to the end of 2007, ECB indicative rates. Since January 2008 daily euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,BRL,
unit multiplier,One,
last update,2025-01-31 15:59:26,
2000-01-13,1.8718,
2000-01-14,1.8425,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,1.8129,
2000-01-18,1.8066,
2000-01-19,1.8179,
2000-01-20,1.7969,
2000-01-21,1.7963,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,1.7678,
2000-01-25,1.7764,
2000-01-26,1.7824,
2000-01-27,1.7747,
2000-01-28,1.7613,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,1.7756,
2000-02-01,1.7420,
2000-02-02,1.7413,
2000-02-03,1.7293,
2000-02-04,1.7496,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,1.7253,
2000-02-08,1.7494,
2000-02-09,1.7529,
2000-02-10,1.7501,
2000-02-11,2.0141,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,1.7509,
2000-02-15,1.7361,
2000-02-16,1.7373,
2000-02-17,1.7631,
2000-02-18,1.7457,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,1.7540,
2000-02-22,1.7844,
2000-02-23,1.8017,
2000-02-24,1.7609,
2000-02-25,1.7428,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,1.7129,
2000-02-29,1.7203,
2000-03-01,1.7115,
2000-03-02,1.7121,
2000-03-03,1.6932,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,1.6823,
2000-03-07,1.6745,
2000-03-08,1.6657,
2000-03-09,1.6684,
2000-03-10,1.6683,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,1.7022,
2000-03-14,1.6748,
2000-03-15,1.6776,
2000-03-16,1.6775,
2000-03-17,1.6849,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,1.6894,
2000-03-21,1.6855,
2000-03-22,1.6618,
2000-03-23,1.6661,
2000-03-24,1.6642,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,1.6845,
2000-03-28,1.6873,
2000-03-29,1.6805,
2000-03-30,1.6669,
2000-03-31,1.6809,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,1.6579,
2000-04-04,1.6615,
2000-04-05,1.6884,
2000-04-06,1.6839,
2000-04-07,1.6704,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,1.6701,
2000-04-11,1.6718,
2000-04-12,1.6691,
2000-04-13,1.6746,
2000-04-14,1.6998,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,1.7102,
2000-04-18,1.6862,
2000-04-19,1.6661,
2000-04-20,1.6656,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,1.6683,
2000-04-26,1.6451,
2000-04-27,1.6516,
2000-04-28,1.6403,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,1.6459,
2000-05-03,1.6075,
2000-05-04,1.6252,
2000-05-05,1.6122,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,1.6118,
2000-05-09,1.6228,
2000-05-10,1.6497,
2000-05-11,1.6528,
2000-05-12,1.6491,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,1.6808,
2000-05-16,1.6539,
2000-05-17,1.6225,
2000-05-18,1.6368,
2000-05-19,1.6290,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,1.6565,
2000-05-23,1.6864,
2000-05-24,1.6881,
2000-05-25,1.6539,
2000-05-26,1.6892,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,1.7010,
2000-05-30,1.7197,
2000-05-31,1.7034,
2000-06-01,1.7023,
2000-06-02,1.7031,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,1.6994,
2000-06-06,1.6992,
2000-06-07,1.7231,
2000-06-08,1.7411,
2000-06-09,1.7115,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,1.7172,
2000-06-13,1.7312,
2000-06-14,1.7465,
2000-06-15,1.7243,
2000-06-16,1.7322,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,1.7386,
2000-06-20,1.7190,
2000-06-21,1.7060,
2000-06-22,1.7037,
2000-06-23,1.7061,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,1.7036,
2000-06-27,1.7133,
2000-06-28,1.7159,
2000-06-29,1.7302,
2000-06-30,1.7330,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,1.7159,
2000-07-04,1.7214,
2000-07-05,1.7257,
2000-07-06,1.7209,
2000-07-07,1.7084,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,1.7156,
2000-07-11,1.7096,
2000-07-12,1.7122,
2000-07-13,1.6861,
2000-07-14,1.6922,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,1.6857,
2000-07-18,1.6803,
2000-07-19,1.6557,
2000-07-20,1.6624,
2000-07-21,1.6821,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,1.6774,
2000-07-25,1.6858,
2000-07-26,1.6832,
2000-07-27,1.6783,
2000-07-28,1.6525,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,1.6513,
2000-08-01,1.6504,
2000-08-02,1.6350,
2000-08-03,1.6192,
2000-08-04,1.6206,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,1.6283,
2000-08-08,1.6271,
2000-08-09,1.6107,
2000-08-10,1.6211,
2000-08-11,1.6401,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,1.6233,
2000-08-15,1.6453,
2000-08-16,1.6366,
2000-08-17,1.6557,
2000-08-18,1.6515,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,1.6399,
2000-08-22,1.6360,
2000-08-23,1.6217,
2000-08-24,1.6420,
2000-08-25,1.6423,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,1.6415,
2000-08-29,1.6428,
2000-08-30,1.6263,
2000-08-31,1.6240,
2000-09-01,1.6233,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,1.6416,
2000-09-05,1.6226,
2000-09-06,1.6071,
2000-09-07,1.5795,
2000-09-08,1.5902,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,1.5630,
2000-09-12,1.5673,
2000-09-13,1.5832,
2000-09-14,1.5925,
2000-09-15,1.5839,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,1.5722,
2000-09-19,1.5865,
2000-09-20,1.5685,
2000-09-21,1.5786,
2000-09-22,1.6562,
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,1.6159,
2000-09-26,1.6196,
2000-09-27,1.6388,
2000-09-28,1.6335,
2000-09-29,1.6141,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,1.6226,
2000-10-03,1.6225,
2000-10-04,1.6181,
2000-10-05,1.6285,
2000-10-06,1.6070,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,1.6147,
2000-10-10,1.6164,
2000-10-11,1.6247,
2000-10-12,1.6090,
2000-10-13,1.6189,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,1.5907,
2000-10-17,1.5824,
2000-10-18,1.6031,
2000-10-19,1.5741,
2000-10-20,1.5890,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,1.5838,
2000-10-24,1.5875,
2000-10-25,1.6053,
2000-10-26,1.5935,
2000-10-27,1.6003,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,1.6264,
2000-10-31,1.6072,
2000-11-01,1.6321,
2000-11-02,1.6587,
2000-11-03,1.6788,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,1.6888,
2000-11-07,1.6792,
2000-11-08,1.6664,
2000-11-09,1.6768,
2000-11-10,1.6982,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,1.6878,
2000-11-14,1.6702,
2000-11-15,1.6779,
2000-11-16,1.6694,
2000-11-17,1.6724,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,1.6479,
2000-11-21,1.6086,
2000-11-22,1.6308,
2000-11-23,1.6340,
2000-11-24,1.6474,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,1.6424,
2000-11-28,1.6951,
2000-11-29,1.6958,
2000-11-30,1.7042,
2000-12-01,1.7295,
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,1.7696,
2000-12-05,1.7338,
2000-12-06,1.7303,
2000-12-07,1.7667,
2000-12-08,1.7492,
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,1.7291,
2000-12-12,1.7279,
2000-12-13,1.7212,
2000-12-14,1.7370,
2000-12-15,1.7672,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,1.7515,
2000-12-19,1.7432,
2000-12-20,1.7724,
2000-12-21,1.7958,
2000-12-22,1.8050,
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,1.8252,
2000-12-28,1.8175,
2000-12-29,1.8149,
2000-12-30,.,No value available
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,1.8276,
2001-01-03,1.8545,
2001-01-04,1.8306,
2001-01-05,1.8589,
2001-01-06,.,No value available
2001-01-07,.,No value available
2001-01-08,1.8548,
2001-01-09,1.8312,
2001-01-10,1.8297,
2001-01-11,1.8560,
2001-01-12,1.8656,
2001-01-13,.,No value available
2001-01-14,.,No value available
2001-01-15,1.8352,
2001-01-16,1.8368,
2001-01-17,1.8322,
2001-01-18,1.8371,
2001-01-19,1.8380,
2001-01-20,.,No value available
2001-01-21,.,No value available
2001-01-22,1.8190,
2001-01-23,1.8428,
2001-01-24,1.8258,
2001-01-25,1.8031,
2001-01-26,1.8244,
2001-01-27,.,No value available
2001-01-28,.,No value available
2001-01-29,1.8170,
2001-01-30,1.8173,
2001-01-31,1.8321,
2001-02-01,1.8607,
2001-02-02,1.8746,
2001-02-03,.,No value available
2001-02-04,.,No value available
2001-02-05,1.8751,
2001-02-06,1.8630,
2001-02-07,1.8692,
2001-02-08,1.8403,
2001-02-09,1.8385,
2001-02-10,.,No value available
2001-02-11,.,No value available
2001-02-12,1.8409,
2001-02-13,1.8360,
2001-02-14,1.8278,
2001-02-15,1.7994,
2001-02-16,1.8149,
2001-02-17,.,No value available
2001-02-18,.,No value available
2001-02-19,1.8468,
2001-02-20,1.8181,
2001-02-21,1.8466,
2001-02-22,1.8429,
2001-02-23,1.8531,
2001-02-24,.,No value available
2001-02-25,.,No value available
2001-02-26,1.8488,
2001-02-27,1.8660,
2001-02-28,1.8824,
2001-03-01,1.8941,
2001-03-02,1.9115,
2001-03-03,.,No value available
2001-03-04,.,No value available
2001-03-05,1.8819,
2001-03-06,1.8725,
2001-03-07,1.8935,
2001-03-08,1.8951,
2001-03-09,1.9321,
2001-03-10,.,No value available
2001-03-11,.,No value available
2001-03-12,1.9035,
2001-03-13,1.9011,
2001-03-14,1.9048,
2001-03-15,1.8858,
2001-03-16,1.9028,
2001-03-17,.,No value available
2001-03-18,.,No value available
2001-03-19,1.9175,
2001-03-20,1.9100,
2001-03-21,1.8901,
2001-03-22,1.8978,
2001-03-23,1.9272,
2001-03-24,.,No value available
2001-03-25,.,No value available
2001-03-26,1.9402,
2001-03-27,1.9068,
2001-03-28,1.8779,
2001-03-29,1.8781,
2001-03-30,1.9011,
2001-03-31,.,No value available
2001-04-01,.,No value available
2001-04-02,1.8882,
2001-04-03,1.9154,
2001-04-04,1.9694,
2001-04-05,1.9605,
2001-04-06,1.9243,
2001-04-07,.,No value available
2001-04-08,.,No value available
2001-04-09,1.9510,
2001-04-10,1.9299,
2001-04-11,1.8891,
2001-04-12,1.9054,
2001-04-13,.,No value available
2001-04-14,.,No value available
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,1.9283,
2001-04-18,1.9290,
2001-04-19,1.9212,
2001-04-20,1.9659,
2001-04-21,.,No value available
2001-04-22,.,No value available
2001-04-23,2.0119,
2001-04-24,2.0239,
2001-04-25,2.0404,
2001-04-26,2.0622,
2001-04-27,2.0266,
2001-04-28,.,No value available
2001-04-29,.,No value available
2001-04-30,1.9549,
2001-05-01,.,No value available
2001-05-02,1.9609,
2001-05-03,1.9889,
2001-05-04,1.9742,
2001-05-05,.,No value available
2001-05-06,.,No value available
2001-05-07,1.9711,
2001-05-08,1.9625,
2001-05-09,1.9777,
2001-05-10,2.0028,
2001-05-11,1.9796,
2001-05-12,.,No value available
2001-05-13,.,No value available
2001-05-14,1.9983,
2001-05-15,2.0314,
2001-05-16,2.0631,
2001-05-17,2.0349,
2001-05-18,2.0165,
2001-05-19,.,No value available
2001-05-20,.,No value available
2001-05-21,2.0200,
2001-05-22,2.0096,
2001-05-23,1.9983,
2001-05-24,2.0181,
2001-05-25,2.0210,
2001-05-26,.,No value available
2001-05-27,.,No value available
2001-05-28,1.9885,
2001-05-29,1.9997,
2001-05-30,2.0068,
2001-05-31,1.9854,
2001-06-01,2.0106,
2001-06-02,.,No value available
2001-06-03,.,No value available
2001-06-04,2.0240,
2001-06-05,2.0185,
2001-06-06,2.0311,
2001-06-07,2.0204,
2001-06-08,2.0022,
2001-06-09,.,No value available
2001-06-10,.,No value available
2001-06-11,2.0080,
2001-06-12,2.0170,
2001-06-13,2.0578,
2001-06-14,2.0580,
2001-06-15,2.0992,
2001-06-16,.,No value available
2001-06-17,.,No value available
2001-06-18,2.0693,
2001-06-19,2.1104,
2001-06-20,2.1108,
2001-06-21,2.1004,
2001-06-22,2.0199,
2001-06-23,.,No value available
