"",BBEX3.D.HRK.EUR.BB.AC.000,BBEX3.D.HRK.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = HRK ... / Croatia / up to the end of December 2022,
Comment (in english),"Up to March 2005, ECB indicative rates. From April 2005 until the end of 2022, the ECB published daily euro foreign exchange reference rates for kuna (HRK), which were determined on the basis of the concertation between central banks at 14:15 CET. On January 1, 2023, Croatia joined the euro area with an irrevocable euro conversion rate of EUR 1 = HRK 7.53450.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,HRK,
unit multiplier,One,
last update,2023-09-20 14:23:35,
2000-01-13,7.7400,
2000-01-14,7.7398,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,7.7295,
2000-01-18,7.7300,
2000-01-19,7.7373,
2000-01-20,7.7370,
2000-01-21,7.7370,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,7.7370,
2000-01-25,7.7370,
2000-01-26,7.7324,
2000-01-27,7.7275,
2000-01-28,7.7470,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,7.7473,
2000-02-01,7.7545,
2000-02-02,7.7698,
2000-02-03,7.7645,
2000-02-04,7.7450,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,7.7445,
2000-02-08,7.7538,
2000-02-09,7.7426,
2000-02-10,7.7450,
2000-02-11,7.7445,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,7.7450,
2000-02-15,7.7375,
2000-02-16,7.7375,
2000-02-17,7.7370,
2000-02-18,7.7306,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,7.7395,
2000-02-22,7.7474,
2000-02-23,7.7400,
2000-02-24,7.7495,
2000-02-25,7.7400,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,7.7570,
2000-02-29,7.7573,
2000-03-01,7.7570,
2000-03-02,7.7395,
2000-03-03,7.7395,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,7.7398,
2000-03-07,7.7398,
2000-03-08,7.7549,
2000-03-09,7.7575,
2000-03-10,7.7575,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,7.7573,
2000-03-14,7.7573,
2000-03-15,7.7573,
2000-03-16,7.7570,
2000-03-17,7.7500,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,7.7498,
2000-03-21,7.7495,
2000-03-22,7.7495,
2000-03-23,7.7613,
2000-03-24,7.7613,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,7.7608,
2000-03-28,7.7466,
2000-03-29,7.7513,
2000-03-30,7.7450,
2000-03-31,7.7445,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,7.7488,
2000-04-04,7.7489,
2000-04-05,7.7480,
2000-04-06,7.7423,
2000-04-07,7.7420,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,7.7449,
2000-04-11,7.7444,
2000-04-12,7.7395,
2000-04-13,7.7345,
2000-04-14,7.7394,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,7.7397,
2000-04-18,7.7275,
2000-04-19,7.7275,
2000-04-20,7.7250,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,7.7200,
2000-04-26,7.7078,
2000-04-27,7.7066,
2000-04-28,7.7080,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,7.7075,
2000-05-03,7.7080,
2000-05-04,7.7069,
2000-05-05,7.7062,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,7.7048,
2000-05-09,7.7046,
2000-05-10,7.7042,
2000-05-11,7.6970,
2000-05-12,7.6973,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,7.6977,
2000-05-16,7.6976,
2000-05-17,7.6887,
2000-05-18,7.6842,
2000-05-19,7.6843,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,7.6900,
2000-05-23,7.6825,
2000-05-24,7.6763,
2000-05-25,7.6786,
2000-05-26,7.6790,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,7.6758,
2000-05-30,7.6758,
2000-05-31,7.6725,
2000-06-01,7.6725,
2000-06-02,7.6735,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,7.6773,
2000-06-06,7.6773,
2000-06-07,7.6735,
2000-06-08,7.6774,
2000-06-09,7.6740,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,7.6738,
2000-06-13,7.6698,
2000-06-14,7.6698,
2000-06-15,7.6695,
2000-06-16,7.6595,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,7.6600,
2000-06-20,7.6600,
2000-06-21,7.6495,
2000-06-22,7.6695,
2000-06-23,7.6321,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,7.6318,
2000-06-27,7.6325,
2000-06-28,7.6325,
2000-06-29,7.6300,
2000-06-30,7.6304,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,7.6300,
2000-07-04,7.6308,
2000-07-05,7.6327,
2000-07-06,7.6175,
2000-07-07,7.6300,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,7.6273,
2000-07-11,7.6005,
2000-07-12,7.6276,
2000-07-13,7.6276,
2000-07-14,7.6275,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,7.5945,
2000-07-18,7.6281,
2000-07-19,7.6274,
2000-07-20,7.6279,
2000-07-21,7.5943,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,7.5943,
2000-07-25,7.5948,
2000-07-26,7.5946,
2000-07-27,7.5943,
2000-07-28,7.5943,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,7.6023,
2000-08-01,7.5984,
2000-08-02,7.5988,
2000-08-03,7.5958,
2000-08-04,7.5988,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,7.5981,
2000-08-08,7.5981,
2000-08-09,7.5981,
2000-08-10,7.5989,
2000-08-11,7.5982,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,7.5988,
2000-08-15,7.5800,
2000-08-16,7.5873,
2000-08-17,7.5878,
2000-08-18,7.5643,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,7.5643,
2000-08-22,7.5577,
2000-08-23,7.5574,
2000-08-24,7.5582,
2000-08-25,7.5498,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,7.5609,
2000-08-29,7.5669,
2000-08-30,7.5424,
2000-08-31,7.5463,
2000-09-01,7.5427,
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,7.5488,
2000-09-05,7.5500,
2000-09-06,7.5475,
2000-09-07,7.5475,
2000-09-08,7.5420,
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,7.5428,
2000-09-12,7.5428,
2000-09-13,7.5398,
2000-09-14,7.5430,
2000-09-15,7.5273,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,7.5268,
2000-09-19,7.5222,
2000-09-20,7.5223,
2000-09-21,7.5223,
2000-09-22,7.5150,
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,7.5150,
2000-09-26,7.5224,
2000-09-27,7.5220,
2000-09-28,7.5224,
2000-09-29,7.5225,
2000-09-30,.,No value available
2000-10-01,.,No value available
2000-10-02,7.5245,
2000-10-03,7.5180,
2000-10-04,7.5181,
2000-10-05,7.5180,
2000-10-06,7.5186,
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,7.5181,
2000-10-10,7.5223,
2000-10-11,7.5270,
2000-10-12,7.5333,
2000-10-13,7.5333,
2000-10-14,.,No value available
2000-10-15,.,No value available
2000-10-16,7.5400,
2000-10-17,7.5395,
2000-10-18,7.5314,
2000-10-19,7.5261,
2000-10-20,7.5444,
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,7.5445,
2000-10-24,7.5495,
2000-10-25,7.5449,
2000-10-26,7.5494,
2000-10-27,7.5555,
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,7.5546,
2000-10-31,7.5547,
2000-11-01,7.5556,
2000-11-02,7.5553,
2000-11-03,7.5570,
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,7.5550,
2000-11-07,7.5635,
2000-11-08,7.5593,
2000-11-09,7.5551,
2000-11-10,7.5584,
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,7.5625,
2000-11-14,7.5550,
2000-11-15,7.5616,
2000-11-16,7.5629,
2000-11-17,7.5621,
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,7.5725,
2000-11-21,7.5750,
2000-11-22,7.5681,
2000-11-23,7.5775,
2000-11-24,7.5823,
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,7.5800,
2000-11-28,7.5823,
2000-11-29,7.5820,
2000-11-30,7.5677,
