"",BBEX3.D.INR.EUR.BB.AC.000,BBEX3.D.INR.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = INR ... / India,
Comment (in english),"Up to the end of 2008, ECB indicative rates. Since January 2009 daily euro foreign exchange reference rates of the ECB, which are calculated on the basis of the concertation between central banks at 14.15.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,INR,
unit multiplier,One,
last update,2025-01-31 15:59:27,
2000-01-13,44.7240,
2000-01-14,44.4730,
2000-01-15,.,No value available
2000-01-16,.,No value available
2000-01-17,43.9790,
2000-01-18,43.9980,
2000-01-19,44.0060,
2000-01-20,43.9400,
2000-01-21,43.9680,
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,43.7310,
2000-01-25,43.6300,
2000-01-26,43.6540,
2000-01-27,43.4160,
2000-01-28,42.9360,
2000-01-29,.,No value available
2000-01-30,.,No value available
2000-01-31,42.7180,
2000-02-01,42.3640,
2000-02-02,42.3500,
2000-02-03,42.4320,
2000-02-04,42.9350,
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,42.5830,
2000-02-08,43.1890,
2000-02-09,43.3120,
2000-02-10,43.0230,
2000-02-11,42.7700,
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,43.0200,
2000-02-15,42.6590,
2000-02-16,42.7890,
2000-02-17,43.2810,
2000-02-18,43.0180,
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,43.0070,
2000-02-22,43.6920,
2000-02-23,43.9020,
2000-02-24,43.1820,
2000-02-25,42.8080,
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,42.0300,
2000-02-29,42.3530,
2000-03-01,42.1360,
2000-03-02,42.3760,
2000-03-03,42.0790,
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,42.0050,
2000-03-07,41.7710,
2000-03-08,41.5710,
2000-03-09,41.9020,
2000-03-10,41.8630,
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,42.3280,
2000-03-14,41.9290,
2000-03-15,42.0880,
2000-03-16,42.1180,
2000-03-17,42.1300,
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,42.3180,
2000-03-21,42.2560,
2000-03-22,41.8550,
2000-03-23,42.0970,
2000-03-24,42.3540,
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,42.3480,
2000-03-28,42.0700,
2000-03-29,41.7130,
2000-03-30,41.6690,
2000-03-31,41.6540,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,41.6480,
2000-04-04,41.5960,
2000-04-05,42.2080,
2000-04-06,41.9910,
2000-04-07,41.7600,
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,41.8450,
2000-04-11,41.8380,
2000-04-12,41.7660,
2000-04-13,41.6250,
2000-04-14,41.6580,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,41.7870,
2000-04-18,41.4790,
2000-04-19,41.3080,
2000-04-20,40.9400,
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,40.6050,
2000-04-26,40.1360,
2000-04-27,40.0080,
2000-04-28,39.6540,
2000-04-29,.,No value available
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,39.8170,
2000-05-03,38.9030,
2000-05-04,39.0780,
2000-05-05,39.3000,
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,39.0560,
2000-05-09,39.1510,
2000-05-10,40.1560,
2000-05-11,39.9420,
2000-05-12,39.7920,
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,40.4320,
2000-05-16,39.8820,
2000-05-17,39.2500,
2000-05-18,39.5330,
2000-05-19,39.0130,
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,39.5810,
2000-05-23,40.1270,
2000-05-24,40.1590,
2000-05-25,39.6670,
2000-05-26,40.5210,
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,41.2300,
2000-05-30,41.7060,
2000-05-31,41.4630,
2000-06-01,41.5860,
2000-06-02,41.7190,
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,42.1440,
2000-06-06,42.3280,
2000-06-07,42.7040,
2000-06-08,43.1650,
2000-06-09,42.4680,
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,42.6360,
2000-06-13,42.8800,
2000-06-14,43.0800,
2000-06-15,42.5710,
2000-06-16,42.7850,
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,43.1220,
2000-06-20,42.5810,
2000-06-21,42.3000,
2000-06-22,42.0340,
2000-06-23,42.0370,
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,41.6770,
2000-06-27,41.9640,
2000-06-28,42.0640,
2000-06-29,42.4650,
2000-06-30,42.6840,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,42.4000,
2000-07-04,42.3780,
2000-07-05,42.6140,
2000-07-06,42.7350,
2000-07-07,42.4010,
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,42.5460,
2000-07-11,42.5690,
2000-07-12,42.4370,
2000-07-13,41.7840,
2000-07-14,41.7820,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,41.8740,
2000-07-18,41.8750,
2000-07-19,41.2580,
2000-07-20,41.4010,
2000-07-21,42.0020,
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,41.7360,
2000-07-25,42.4630,
2000-07-26,42.1450,
2000-07-27,42.1130,
2000-07-28,41.6430,
2000-07-29,.,No value available
2000-07-30,.,No value available
2000-07-31,41.6400,
2000-08-01,41.8500,
2000-08-02,41.4070,
2000-08-03,40.9220,
2000-08-04,40.9810,
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,41.3510,
2000-08-08,41.3840,
2000-08-09,41.0470,
2000-08-10,41.4190,
2000-08-11,41.8320,
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,41.2280,
2000-08-15,41.7720,
2000-08-16,41.5000,
2000-08-17,41.9370,
2000-08-18,41.8320,
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,41.1500,
2000-08-22,40.9690,
2000-08-23,40.9270,
2000-08-24,41.3970,
2000-08-25,41.3910,
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,41.2390,
2000-08-29,41.0850,
2000-08-30,40.8400,
2000-08-31,40.8000,
2000-09-01,40.7250,
2000-09-02,.,No value available
