"",BBEX3.D.RON.EUR.BB.AC.000,BBEX3.D.RON.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = RON ... / Romania / from July 2005,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15. Currency conversion with effect from 1 July 2005: ROL 10,000 = RON 1. Up to the end of June 2005, see BBEX3:D:ROL:EUR:BB:AC:000.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,RON,
unit multiplier,One,
last update,2025-01-31 16:00:07,
2005-07-01,3.6030,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,3.6009,
2005-07-05,3.5963,
2005-07-06,3.5995,
2005-07-07,3.5904,
2005-07-08,3.5828,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,3.5760,
2005-07-12,3.5715,
2005-07-13,3.5669,
2005-07-14,3.5637,
2005-07-15,3.5659,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,3.5605,
2005-07-19,3.5592,
2005-07-20,3.5572,
2005-07-21,3.5618,
2005-07-22,3.5515,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,3.5525,
2005-07-26,3.5417,
2005-07-27,3.5215,
2005-07-28,3.5191,
2005-07-29,3.5164,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,3.5043,
2005-08-02,3.4779,
2005-08-03,3.4505,
2005-08-04,3.4381,
2005-08-05,3.4413,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,3.4279,
2005-08-09,3.4264,
2005-08-10,3.4232,
2005-08-11,3.4621,
2005-08-12,3.5781,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,3.5764,
2005-08-16,3.5645,
2005-08-17,3.5777,
2005-08-18,3.5660,
2005-08-19,3.5524,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,3.5196,
2005-08-23,3.5101,
2005-08-24,3.5008,
2005-08-25,3.5144,
2005-08-26,3.5359,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,3.5175,
2005-08-30,3.5062,
2005-08-31,3.5066,
2005-09-01,3.5093,
2005-09-02,3.5120,
