"",BBEX3.D.TRY.EUR.BB.AC.000,BBEX3.D.TRY.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = TRY ... / Turkey / from January 2005,
Comment (in english),"The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15. Currency conversion with effect from 1 January 2005: TRL 1,000,000 = TRY 1. Up to the end of 2004, see BBEX3:D:TRL:EUR:BB:AC:000.",
Decimals,4,
Source (in english),European Central Bank (ECB).,
Time format code,P1D,
category,WEDE,
unit,TRY,
unit multiplier,One,
last update,2025-01-31 16:00:08,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,1.8150,
2005-01-04,1.8070,
2005-01-05,1.8329,
2005-01-06,1.8450,
2005-01-07,1.8250,
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,1.8155,
2005-01-11,1.8142,
2005-01-12,1.8098,
2005-01-13,1.7968,
2005-01-14,1.7708,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,1.7497,
2005-01-18,1.7464,
2005-01-19,1.7598,
2005-01-20,1.7480,
2005-01-21,1.7505,
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,1.7549,
2005-01-25,1.7357,
2005-01-26,1.7353,
2005-01-27,1.7541,
2005-01-28,1.7377,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,1.7420,
2005-02-01,1.7342,
2005-02-02,1.7354,
2005-02-03,1.7216,
2005-02-04,1.7107,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,1.6905,
2005-02-08,1.7008,
2005-02-09,1.7000,
2005-02-10,1.7144,
2005-02-11,1.6982,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,1.7053,
2005-02-15,1.7036,
2005-02-16,1.7126,
2005-02-17,1.7116,
2005-02-18,1.7040,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,1.7062,
2005-02-22,1.7120,
2005-02-23,1.7272,
2005-02-24,1.7145,
2005-02-25,1.7040,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,1.7009,
2005-03-01,1.6941,
2005-03-02,1.6841,
2005-03-03,1.6784,
2005-03-04,1.6732,
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,1.6642,
2005-03-08,1.6792,
2005-03-09,1.7070,
2005-03-10,1.7215,
2005-03-11,1.7002,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,1.7290,
2005-03-15,1.7301,
2005-03-16,1.7783,
2005-03-17,1.7886,
2005-03-18,1.7546,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,1.7768,
2005-03-22,1.7606,
2005-03-23,1.7776,
2005-03-24,1.7575,
2005-03-25,.,No value available
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,.,No value available
2005-03-29,1.8019,
2005-03-30,1.7846,
2005-03-31,1.7572,
2005-04-01,1.7521,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,1.7564,
2005-04-05,1.7515,
2005-04-06,1.7462,
2005-04-07,1.7354,
2005-04-08,1.7335,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,1.7507,
2005-04-12,1.7467,
